month;GPR;SHARE_GPR;N10;GPRC_ARG;GPRC_AUS;GPRC_BEL;GPRC_BRA;GPRC_CAN;GPRC_CHE;GPRC_CHL;GPRC_CHN;GPRC_COL;GPRC_DEU;GPRC_DNK;GPRC_EGY;GPRC_ESP;GPRC_FIN;GPRC_FRA;GPRC_GBR;GPRC_HKG;GPRC_HUN;GPRC_IDN;GPRC_IND;GPRC_ISR;GPRC_ITA;GPRC_JPN;GPRC_KOR;GPRC_MEX;GPRC_MYS;GPRC_NLD;GPRC_NOR;GPRC_PER;GPRC_PHL;GPRC_POL;GPRC_PRT;GPRC_RUS;GPRC_SAU;GPRC_SWE;GPRC_THA;GPRC_TUN;GPRC_TUR;GPRC_TWN;GPRC_UKR;GPRC_USA;GPRC_VEN;GPRC_VNM;GPRC_ZAF;;;;;
01/12/1997;44,00;1,32;30462;0,01;0,02;0,07;0,03;0,11;0,03;0,00;0,15;0,03;0,15;0,00;0,08;0,05;0,03;0,30;0,52;0,02;0,02;0,02;0,09;0,20;0,06;0,09;0,11;0,08;0,03;0,02;0,05;0,00;0,01;0,03;0,01;0,35;0,09;0,05;0,01;0,00;0,07;0,01;0,01;0,95;0,01;0,01;0,06;;;;;27,40148785
01/01/1998;53,10;1,59;32589;0,03;0,10;0,06;0,03;0,13;0,03;0,01;0,24;0,02;0,13;0,01;0,07;0,09;0,00;0,48;0,78;0,01;0,01;0,05;0,08;0,26;0,09;0,06;0,08;0,07;0,05;0,02;0,03;0,00;0,01;0,02;0,02;0,46;0,09;0,03;0,05;0,02;0,09;0,01;0,01;1,11;0,01;0,01;0,03;;;;;42,95809255
01/02/1998;77,60;2,33;31107;0,02;0,10;0,04;0,03;0,13;0,08;0,01;0,31;0,04;0,23;0,01;0,18;0,06;0,00;0,66;1,32;0,03;0,02;0,06;0,15;0,50;0,10;0,11;0,06;0,05;0,03;0,05;0,03;0,02;0,02;0,05;0,05;0,77;0,40;0,05;0,02;0,01;0,21;0,03;0,02;1,84;0,02;0,02;0,04;;;;;54,02675492
01/03/1998;57,25;1,72;34244;0,02;0,04;0,06;0,04;0,10;0,03;0,00;0,17;0,05;0,24;0,01;0,06;0,07;0,02;0,34;0,71;0,01;0,03;0,04;0,13;0,21;0,20;0,08;0,08;0,05;0,03;0,05;0,03;0,01;0,01;0,04;0,01;0,42;0,08;0,03;0,03;0,00;0,12;0,01;0,04;1,25;0,00;0,02;0,06;;;;;30,43744175
01/04/1998;51,00;1,53;32231;0,01;0,03;0,04;0,02;0,13;0,02;0,02;0,18;0,04;0,17;0,01;0,04;0,06;0,01;0,26;0,71;0,01;0,04;0,02;0,07;0,16;0,16;0,07;0,07;0,04;0,01;0,04;0,02;0,02;0,01;0,04;0,01;0,38;0,04;0,02;0,02;0,00;0,08;0,02;0,02;1,07;0,01;0,01;0,03;;;;;31,17648783
01/05/1998;94,47;2,83;35714;0,04;0,13;0,10;0,05;0,29;0,06;0,02;0,80;0,03;0,36;0,05;0,06;0,06;0,03;0,61;1,55;0,06;0,02;0,23;1,13;0,38;0,15;0,45;0,20;0,05;0,10;0,05;0,08;0,01;0,03;0,04;0,01;0,73;0,04;0,07;0,06;0,01;0,08;0,05;0,02;1,96;0,01;0,01;0,10;;;;;139,8937769
01/06/1998;76,31;2,29;35346;0,06;0,06;0,12;0,08;0,14;0,06;0,01;0,53;0,05;0,29;0,03;0,07;0,09;0,01;0,47;1,08;0,04;0,02;0,05;0,63;0,15;0,18;0,22;0,14;0,10;0,03;0,08;0,03;0,02;0,03;0,02;0,08;0,69;0,06;0,03;0,02;0,00;0,10;0,05;0,03;1,58;0,02;0,02;0,09;;;;;92,68720187
01/07/1998;54,05;1,62;33372;0,03;0,05;0,03;0,02;0,10;0,03;0,01;0,33;0,03;0,16;0,01;0,04;0,06;0,02;0,25;0,67;0,03;0,01;0,11;0,31;0,15;0,07;0,12;0,14;0,06;0,02;0,02;0,03;0,01;0,05;0,01;0,04;0,37;0,07;0,00;0,04;0,00;0,09;0,06;0,02;1,15;0,00;0,02;0,07;;;;;57,51673628
01/08/1998;97,02;2,91;32199;0,05;0,08;0,07;0,07;0,14;0,04;0,02;0,26;0,10;0,27;0,01;0,28;0,08;0,01;0,49;1,16;0,05;0,01;0,06;0,26;0,30;0,11;0,19;0,15;0,08;0,07;0,02;0,02;0,04;0,07;0,03;0,04;0,62;0,50;0,02;0,06;0,02;0,13;0,02;0,01;2,23;0,05;0,02;0,23;;;;;46,4259613
01/09/1998;62,51;1,88;34293;0,01;0,03;0,05;0,02;0,10;0,05;0,01;0,18;0,02;0,16;0,01;0,08;0,04;0,02;0,25;0,69;0,01;0,01;0,05;0,23;0,17;0,05;0,20;0,20;0,05;0,03;0,02;0,04;0,01;0,01;0,02;0,06;0,49;0,16;0,03;0,02;0,00;0,05;0,01;0,01;1,42;0,01;0,01;0,12;;;;;32,25552718
01/10/1998;54,40;1,63;35299;0,06;0,03;0,17;0,03;0,11;0,04;0,04;0,15;0,03;0,27;0,02;0,10;0,07;0,01;0,27;0,68;0,02;0,03;0,03;0,12;0,29;0,17;0,09;0,07;0,06;0,03;0,04;0,06;0,01;0,01;0,03;0,03;0,40;0,05;0,02;0,01;0,00;0,08;0,02;0,01;1,23;0,01;0,01;0,08;;;;;26,80361177
01/11/1998;67,97;2,04;33455;0,03;0,05;0,06;0,05;0,13;0,05;0,04;0,27;0,04;0,20;0,02;0,10;0,09;0,00;0,44;1,03;0,01;0,01;0,06;0,16;0,29;0,09;0,16;0,17;0,07;0,08;0,02;0,04;0,01;0,02;0,01;0,02;0,51;0,16;0,04;0,02;0,01;0,12;0,01;0,01;1,62;0,01;0,01;0,07;;;;;47,55095579
01/12/1998;75,96;2,28;31646;0,04;0,10;0,09;0,04;0,11;0,02;0,03;0,33;0,03;0,23;0,01;0,17;0,07;0,00;0,52;1,28;0,03;0,01;0,05;0,22;0,35;0,10;0,14;0,11;0,03;0,04;0,04;0,07;0,01;0,03;0,03;0,04;0,60;0,24;0,04;0,03;0,01;0,11;0,03;0,02;1,78;0,02;0,02;0,09;;;;;57,90853091
01/01/1999;63,99;1,92;32930;0,02;0,08;0,15;0,07;0,15;0,04;0,02;0,23;0,06;0,19;0,00;0,13;0,05;0,02;0,51;0,99;0,00;0,02;0,03;0,09;0,11;0,15;0,09;0,14;0,06;0,02;0,05;0,04;0,01;0,03;0,03;0,01;0,58;0,16;0,01;0,01;0,00;0,08;0,02;0,02;1,32;0,01;0,00;0,08;;;;;40,75697754
01/02/1999;58,32;1,75;29386;0,02;0,03;0,09;0,03;0,15;0,03;0,01;0,23;0,04;0,29;0,01;0,06;0,06;0,01;0,48;0,85;0,03;0,02;0,04;0,15;0,13;0,16;0,16;0,14;0,05;0,01;0,05;0,04;0,01;0,02;0,02;0,03;0,47;0,10;0,03;0,01;0,00;0,20;0,07;0,02;1,25;0,00;0,02;0,04;;;;;39,66742668
01/03/1999;83,40;2,50;33821;0,05;0,06;0,23;0,04;0,20;0,05;0,02;0,43;0,04;0,38;0,01;0,04;0,07;0,05;0,60;1,09;0,02;0,07;0,04;0,13;0,14;0,28;0,18;0,20;0,14;0,02;0,06;0,03;0,00;0,02;0,06;0,03;0,78;0,04;0,02;0,02;0,01;0,23;0,17;0,03;1,93;0,03;0,04;0,05;;;;;74,44930452
01/04/1999;106,20;3,19;32242;0,01;0,06;0,50;0,03;0,25;0,06;0,01;0,42;0,07;0,61;0,02;0,04;0,09;0,02;0,60;1,41;0,02;0,22;0,07;0,15;0,10;0,48;0,13;0,20;0,07;0,02;0,09;0,17;0,00;0,01;0,10;0,06;1,05;0,05;0,06;0,01;0,01;0,23;0,12;0,07;2,36;0,02;0,15;0,04;;;;;72,65107722
01/05/1999;85,44;2,56;33090;0,02;0,04;0,36;0,00;0,14;0,05;0,01;0,74;0,02;0,53;0,02;0,04;0,07;0,10;0,38;0,99;0,07;0,10;0,02;0,18;0,13;0,32;0,15;0,17;0,09;0,01;0,07;0,07;0,01;0,02;0,04;0,02;0,77;0,04;0,03;0,01;0,00;0,11;0,11;0,03;1,85;0,00;0,05;0,04;;;;;128,8825461
01/06/1999;79,41;2,38;32664;0,02;0,04;0,17;0,02;0,20;0,06;0,01;0,53;0,05;0,51;0,01;0,04;0,05;0,16;0,51;1,04;0,02;0,06;0,06;0,31;0,13;0,23;0,15;0,16;0,06;0,02;0,07;0,01;0,02;0,03;0,03;0,02;0,70;0,05;0,04;0,02;0,00;0,09;0,04;0,03;1,63;0,01;0,02;0,06;;;;;91,37175443
01/07/1999;62,14;1,86;31654;0,03;0,03;0,08;0,03;0,11;0,04;0,01;0,33;0,13;0,15;0,01;0,07;0,05;0,02;0,21;0,73;0,04;0,03;0,06;0,28;0,21;0,09;0,15;0,15;0,05;0,02;0,03;0,05;0,03;0,03;0,02;0,03;0,30;0,05;0,01;0,01;0,00;0,09;0,15;0,03;1,24;0,02;0,01;0,05;;;;;56,44722194
01/08/1999;62,86;1,89;30551;0,03;0,06;0,06;0,03;0,13;0,03;0,03;0,34;0,08;0,15;0,01;0,06;0,05;0,02;0,28;0,68;0,06;0,02;0,09;0,23;0,17;0,09;0,19;0,18;0,08;0,01;0,07;0,03;0,02;0,03;0,02;0,04;0,56;0,08;0,01;0,03;0,01;0,13;0,15;0,02;1,27;0,05;0,02;0,07;;;;;58,40416089
01/09/1999;69,58;2,09;31672;0,03;0,38;0,03;0,03;0,19;0,02;0,01;0,32;0,08;0,21;0,01;0,08;0,06;0,03;0,31;0,79;0,04;0,01;0,48;0,13;0,19;0,10;0,19;0,21;0,07;0,08;0,10;0,03;0,02;0,08;0,03;0,23;0,67;0,07;0,04;0,09;0,00;0,09;0,08;0,04;1,40;0,03;0,03;0,05;;;;;55,16976196
01/10/1999;72,35;2,17;34744;0,01;0,12;0,07;0,02;0,20;0,03;0,02;0,38;0,03;0,27;0,01;0,04;0,06;0,05;0,35;0,69;0,03;0,04;0,17;0,38;0,17;0,09;0,20;0,24;0,07;0,05;0,03;0,02;0,02;0,01;0,05;0,05;0,84;0,07;0,03;0,04;0,01;0,06;0,05;0,03;1,48;0,00;0,01;0,12;;;;;65,63352652
01/11/1999;57,96;1,74;33476;0,02;0,05;0,04;0,02;0,15;0,01;0,03;0,31;0,04;0,19;0,01;0,08;0,07;0,07;0,29;0,72;0,03;0,03;0,07;0,15;0,13;0,05;0,09;0,12;0,07;0,02;0,05;0,06;0,01;0,03;0,04;0,02;0,65;0,07;0,02;0,02;0,01;0,24;0,09;0,05;1,19;0,01;0,01;0,09;;;;;53,61073361
01/12/1999;86,08;2,58;31487;0,02;0,08;0,09;0,03;0,39;0,08;0,02;0,41;0,08;0,27;0,00;0,10;0,08;0,07;0,51;0,96;0,04;0,02;0,06;0,23;0,31;0,16;0,14;0,12;0,09;0,05;0,05;0,04;0,01;0,03;0,02;0,04;0,97;0,20;0,02;0,01;0,00;0,10;0,08;0,03;1,83;0,03;0,03;0,07;;;;;71,14012906
