date,eui,gpr,cpu,oil_price,log_eui,log_gpr,log_cpu,log_oil_price,d_eui,dlog_eui,d_cpu,dlog_cpu,d_oil_price,dlog_oil_price,COVID_WINDOW_2020_03_11_2023_05_05,RU_UA_WAR_PULSE_2022_02_24,FUKUSHIMA_PULSE_2011_03_11,GFC_WINDOW_2007_12_01_2009_06_30,PARIS_COP21_PULSE_2015_12_12,SEP11_PULSE_2001_09_11
2006-11-01,1.119514915,88.77892303466797,108.0276738,58.76,0.11289547987993766,4.486149268612194,4.682387433189532,4.073461351305676,-0.0837363809999998,-0.0721318264034644,39.20064071,0.45079084260442226,0.9499999999999957,0.01629958021129152,0,0,0,0,0,0
2006-12-01,1.291149521,90.60655975341795,78.90933271,62.47,0.2555329231286875,4.506526613887289,4.36829950615452,4.134686441505479,0.1716346059999998,0.14263744324874983,-29.11834109,-0.3140879270350121,3.710000000000001,0.0612250901998026,0,0,0,0,0,0
2007-01-01,1.130774408,97.9200439453125,144.0540974,53.68,0.12290271481607389,4.584151267551829,4.970188905416183,3.9830404926634264,-0.16037511299999996,-0.13263020831261357,65.14476468999999,0.6018893992616636,-8.79,-0.1516459488420523,0,0,0,0,0,0
2007-02-01,1.252432863,96.16935729980467,103.0612095,57.56,0.22508795014501343,4.566110775742765,4.635323078713224,4.052827882019167,0.12165845499999994,0.10218523532893954,-40.992887899999985,-0.33486582670295917,3.8800000000000026,0.06978738935574036,0,0,0,0,0,0
2007-03-01,1.239169716,87.33650207519531,144.2987446,62.05,0.21444157147457962,4.469768497738527,4.9718857658112805,4.127940511650616,-0.013263146999999975,-0.010646378670433804,41.23753509999999,0.3365626870980565,4.489999999999995,0.07511262963144905,0,0,0,0,0,0
2007-04-01,1.035773731,76.6133804321289,95.45865419,67.49,0.03514871361249017,4.33877174076251,4.5586932133220746,4.211979438755315,-0.203395985,-0.17929285786208946,-48.84009040999999,-0.41319255248920594,5.439999999999998,0.08403892710469929,0,0,0,0,0,0
2007-05-01,1.012514162,92.5995864868164,73.13173818,67.21,0.01243650706123156,4.528284676057027,4.292262447358116,4.2078220459818745,-0.023259568999999924,-0.022712206551258607,-22.326916010000005,-0.26643076596395865,-0.28000000000000114,-0.004157392773440627,0,0,0,0,0,0
2007-06-01,1.35381788,97.9723129272461,139.3785174,71.05,0.3029286602735846,4.584684917603403,4.937193378846609,4.263383854543109,0.34130371800000003,0.29049215321235305,66.24677922,0.644930931488493,3.8400000000000034,0.05556180856123483,0,0,0,0,0,0
2007-07-01,0.895207495,112.34625244140624,95.55404747,76.93,-0.11069974958872848,4.721585641968257,4.5596920294960945,4.342895917470844,-0.45861038500000006,-0.4136284098623131,-43.82446992999999,-0.3775013493505144,5.88000000000001,0.07951206292773438,0,0,0,0,0,0
2007-08-01,1.091878409,83.17320251464844,58.33753402,70.76,0.08789952405357107,4.420925210786121,4.06624569443411,4.259293869291585,0.19667091400000003,0.19859927364229957,-37.21651345,-0.4934463350619849,-6.170000000000002,-0.08360204817925876,0,0,0,0,0,0
2007-09-01,1.61597472,94.4888687133789,78.43022502,77.17,0.47993831641218543,4.54848203616893,4.3622093762756675,4.346010780469512,0.5240963110000001,0.3920387923586144,20.092690999999995,0.29596368184155786,6.409999999999997,0.0867169111779269,0,0,0,0,0,0
2007-10-01,1.324974622,101.47301483154295,88.06308914,82.34,0.28139330604721335,4.619792899405175,4.478053479657812,4.410857016341759,-0.29100009800000004,-0.19854501036497207,9.632864120000008,0.11584410338214468,5.170000000000002,0.06484623587224725,0,0,0,0,0,0
2007-11-01,1.00029983,89.79544830322266,110.1625404,92.41,0.00029978505996812867,4.497534286977004,4.701956915156678,4.526235197899949,-0.32467479200000016,-0.2810935209872452,22.099451259999995,0.22390343549886538,10.069999999999993,0.11537818155818957,0,0,0,0,0,0
2007-12-01,1.001067284,94.96749114990234,163.2573241,90.93,0.0010667148573534596,4.55353463461522,5.095327631468697,4.510089979737821,0.0007674540000000007,0.0007669297973853309,53.09478370000001,0.3933707163120195,-1.4799999999999898,-0.01614521816212733,0,0,0,1,0,0
2008-01-01,1.167730946,81.49982452392578,94.64850879,92.18,0.15506250341831862,4.400600867163834,4.550170122539145,4.523743187292363,0.16666366200000016,0.15399578856096516,-68.60881531000001,-0.5451575089295524,1.25,0.013653207554541247,0,0,0,1,0,0
2008-02-01,1.045795237,80.75146484375,96.94351639,94.99,0.044777588353413306,4.391376102418105,4.574128503640099,4.553771622902091,-0.12193570899999995,-0.11028491506490531,2.2950076000000053,0.023958381100954718,2.809999999999988,0.030028435609728454,0,0,0,1,0,0
2008-03-01,0.894534894,77.63613891601562,55.12816288,103.64,-0.11145136729169872,4.352033026461621,4.009660708628978,4.640923355693909,-0.15126034300000013,-0.15622895564511202,-41.81535351,-0.5644677950111214,8.650000000000006,0.08715173279181787,0,0,0,1,0,0
2008-04-01,1.012959199,71.9048080444336,93.90177954,109.07,0.012875947061510731,4.275343133762894,4.542249337472341,4.691989877940651,0.11842430500000001,0.12432731435320944,38.77361666000001,0.5325886288433628,5.429999999999993,0.05106652224674235,0,0,0,1,0,0
2008-05-01,1.021929903,72.57379913330078,85.66721683,122.8,0.02169290136662163,4.28460396321232,4.450470218346566,4.810557015713042,0.008970703999999996,0.008816954305110898,-8.234562710000006,-0.09177911912577486,13.730000000000004,0.11856713777239047,0,0,0,1,0,0
